央视频道,#genre#
汕尾新闻综合,http://192.168.0.220:4022/rtp/239.20.0.23:3312
汕尾文化生活,http://192.168.0.220:4022/rtp/239.21.0.90:3700
汕尾文化生活,http://192.168.0.220:4022/rtp/239.20.0.22:3316
河源综合,http://192.168.0.220:4022/rtp/239.21.0.48:3532
河源公共,http://192.168.0.220:4022/rtp/239.21.0.49:3536
云浮综合,https://livestream.oeeee.com/slive/17806.m3u8
云浮文旅,https://livestream.oeeee.com/slive/17807.m3u8
阳江1,https://live.yjtvw.com:8081/live/smil:yjtv1.smil/playlist.m3u8
阳江2,https://live.yjtvw.com:8081/live/smil:yjtv2.smil/playlist.m3u8
惠州综合,http://192.168.0.220:4022/rtp/239.21.0.27:3448
惠州公共,http://192.168.0.220:4022/rtp/239.21.0.28:3452
潮州综合,http://192.168.0.220:4022/udp/239.21.0.145:3924
潮州民生,http://192.168.0.220:4022/udp/239.21.0.146:3928
潮安综合,http://php.jdshipin.com:8880/chudian.php?id=cazh
揭阳综合,http://192.168.0.220:4022/rtp/239.21.0.82:3668
揭阳综合,http://192.168.0.220:4022/rtp/239.21.0.91:3704
揭阳生活,http://192.168.0.220:4022/rtp/239.21.0.83:3672
揭阳生活,http://192.168.0.220:4022/rtp/239.21.0.92:3708
佛山综合,http://php.jdshipin.com:8880/fstv.php?id=fszh
佛山影视,http://php.jdshipin.com:8880/fstv.php?id=fsys
佛山公共,http://php.jdshipin.com:8880/fstv.php?id=fsgg
佛山南海,http://php.jdshipin.com:8880/fstv.php?id=fsnh
佛山顺德,http://php.jdshipin.com:8880/fstv.php?id=fssd
佛山高明,http://php.jdshipin.com:8880/fstv.php?id=fsgm
佛山三水,http://php.jdshipin.com:8880/fstv.php?id=fsss
信宜综合,http://php.jdshipin.com:8880/chudian.php?id=xyzh
阳西综合,http://php.jdshipin.com:8880/chudian.php?id=yxzh
台山台,http://php.jdshipin.com:8880/chudian.php?id=tstv
遂溪台,http://php.jdshipin.com:8880/chudian.php?id=sxtv
新会综合,http://php.jdshipin.com:8880/chudian.php?id=xhzh
